Event Name,Event Venue,Event Web Site,Performers,Event Date,Start Time,End Time,Promoters,Event Purchase URL,Event Pic,Notes,City,State/Province,Country,Correct for accents and symbols
Thanksgiving Eve,Pacha NYC,http://pachanyc.com/events.aspx?event=1,Erick Morillo;Danny Tenaglia,11/23/2011,10pm,na,Clubtickets,http://pacha-nyc.clubtickets.com/us/2011-11/23/erick-morillo-danny-tenaglia-thanksgiving-eve-pacha-nyc,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,New York City,na,USA,na
Tiesto,Lavo NYC,http://lavony.com/Events.aspx?EventID=154,Tiesto,12/1/2011,11pm,na,Lavo Group,http://lavony.com/Reservations.aspx,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,New York City,na,USA,na
Two Nations ft. Kenny Dope,Sullivan Room,http://www.sullivanroom.com/sullivanroom/index.html,Kenny Dope,12/9/2011,10pm,na,Two Nations,http://www.sullivanroom.com/sullivanroom/index.html,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,New York City,na,USA,na
new years eve!,Pacha Buenos Aires,http://www.pachabuenosaires.com/beta3/,Carol Rios; Marcos Paz; Fran Percamili; Matias Sundblad,12/31/2011,10pm,na,na,http://www.pachabuenosaires.com/beta3/,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc4/162850_471879218505_15525058505_5918064_383713_n.jpg,na,Buenos Aires,na,Argentina,*
New Years Eve 'in gold we trust',Stereo,http://www.stereo-nightclub.com/,D-Formation; ESP,12/31/2011,10pm,na,na,http://stereo.wantickets.com/events/96613/nye-d-formation-esp/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96613%2f2b3acabd-f39c-4312-87d1-34de2efbf2b4.jpg&maxWidth=874&maxHeight=668&maxKb=300,na,Montreal,na,Canada,na
Static: New Years Eve 2012,The Kool Haus,http://theguvernment.com/,Steve Aoki; Thomas Gold; Mike Toast,12/31/2011,10pm,na,na,http://theguvernment.com/,http://s3.amazonaws.com/venuedriver_flyers/22018/ticket_event/koolhausnewyears.jpg?1320425160,na,Toronto,na,Canada,na
New Year Eve's Party,Le Queen,http://queen.fr/,TBA,12/31/2011,11pm,na,na,http://www.digitick.com/new-year-s-eve-party-queen-club-paris-soiree-du-31-decembre-2011-au-01-janvier-2012-css4-digitick-pg101-ri1039571.html,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,Paris,na,France,na
NYE 2011,Tresor,http://tresorberlin.com/,Cari Lekebusch; Gary Beck; Joel Mull; Mike Dehnert; Par Grindvik; Suzi Wong; Marcel Heese,12/31/2011,11pm,na,na,http://www.residentadvisor.net/event.aspx?308910,http://www.residentadvisor.net/images/events/flyer/2011/12/de-1231-308910-front.jpg,na,Berlin,na,Germany,na
Going To A Gogo,Paradiso,http://www.paradiso.nl/web/Agenda.htm,Ir.Vendermeulen; Daan Modern; De Pep,12/31/2011,10pm,na,na,http://www.ticketmaster.nl/event/GOING-TO-A-GOGO-tickets/GO311211,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,Amsterdam,na,Netherlands,na
AgeHa Countdown 2012,AgeHa,http://www.ageha.com/,Shinichi Osawa; Ken Ishii; DJ Yummy; Masatoshi Uemura,12/31/2011,9pm,na,na,http://eplus.jp/sys/T1U14P0010817P002068496P0030001P006001,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,Tokyo,na,Japan,na
New Years Eve!,Pacha Ibiza,http://www.pacha.com/,Dimitri Vegas; Like Mike,12/31/2011,11pm,na,na,http://ticketsdisco.com/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,Ibiza,na,Spain,na
