Event Name,Event Venue,Event Web Site,Performers,Event Date,Start Time,End Time,Promoters,Event Purchase URL,Event Pic,Notes,City,Correct for accents and symbols
Happy New Year:  SuperMartXe,Fabrik,http://www.grupo-kapital.com/fabrik/,Abel The Kid; DJ Vitti; Hugo Sanchez; AB Garcia; John Shelvin; Michael Sanchez; Salva di Nobles,1/1/2012,1am,,,http://www.ticketclub.es/web/home,http://www.grupo-kapital.com/fabrik/images/colocafliers/traseras/117_31-12-11_SUPEMARTXE_.jpg,,Madrid,*
New Years Eve,Fabric,http://www.fabriclondon.com/,Craig Richards; Terry Francis; Lil' Louis; Tobi Neumann; Maya Jane Coles; Adam Beyer; Slam; Alan Fitzpatrick; The Mole; Claus Voigtmann; Cristi Cons,12/31/2011,9pm,,,https://fabriclondon.ticketabc.com/events/nye31-12-11/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,London,na
New Years Eve with DJ Irene,LIzard Lounge,http://www.thelizardlounge.com/index.php,DJ Irene; SnoWhite; Johnny Funk; raydar; Shaolin; DJ Yosh,12/31/2011,8pm,,,http://www.thelizardlounge.com/buy_tickets.php,http://www.thelizardlounge.com/event_images/flyers/1728.jpg,,Dallas,na
NYE with Will.i.am,Surrender,http://surrendernightclub.com/flash/index.php,Will.i.am; DJ Ammo,12/31/2011,9pm,,,http://surrender.wantickets.com/Events/94600/Surrender-Your-New-Years-with-WILL-I-AM-of-the-Black-Eyed-Peas/,http://wynnadmin.com/imateq/uploads/701133710/raw/403633.jpg,,Las Vegas,na
avaland 12/31/2011 . john digweed nye 2012,Avalon,http://www.avalonhollywood.com/,John Digweed,12/31/2011,9pm,,,http://avalon.wantickets.com/events/95936/avaland-presents-john-digweed-nye-2012/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f95936%2fefdd989c-2dc0-4e30-9167-fd63f479d0a5.jpg&maxWidth=874&maxHeight=668&maxKb=300,,Los Angeles,na
NYE 2012 with EC Twins,Set,http://www.setmiami.com/dev/main.php,EC Twins,12/31/2011,7pm,,,http://opium.wantickets.com/Events/94938/SET-Nightclub-New-Years-Eve/,http://www.setmiami.com/dev/stock/images/1319834730-fl-th.jpg,,Miami,na
Voyeur NYE Party,Voyeur,http://voyeursd.com/,Mr. White;Rifat Ziadeh,12/31/2011,9pm,,,http://www.wantickets.com/Events/ShowEvent.aspx?eventId=96154,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,San Diego,na
Class Party,Orfeo Superdomo,http://www.orfeosuperdomo.com/DinoTickets/frmIndex.aspx,Carl Cox,12/16/2011,11pm,,,http://www.orfeosuperdomo.com/DinoTickets/frmDetallesEspectaculo.aspx?pEsp_id=1799,http://www.orfeosuperdomo.com/dinotickets/fly/info/carl-cox/carl-cox.jpg,,Buenos Aires,na
Mandala 2012 New Years Eve,Laguna Escondida,http://www.mandalapunta.com/index2.html,Marcelo Sa (Hypno); Carl Cox; Jon Rundell; Ingrid (D-Edge); Ruben Duffey,12/31/2011,10pm,,,http://www.ingressorapido.com.br/Evento.aspx?ID=17968,http://www.ingressorapido.com.br/ImagensSistema/Eventos/eI017968.jpg,Uruguay,Punta Del Este,na
Reveillon 2012,Green Valley,http://www.greenvalley.art.br/index.php,Arjonas; Mangui; Ferris; Rodrigo Vieira; Chuckie; ,12/31/2011,10pm,,,http://www.greenvalley.art.br/index.php,http://www.greenvalley.art.br/fotos/agenda/60460_40e.jpg,,Camboriu,na
Dirty Dutch Blackout 2011,Amsterdam Rai,http://www.dirty-dutch.com/category/dirty-dutch-2/,Chuckie; Laidback Luke; Sunnery James & Ryan Marciano; Knife Party; Ruckus & Rev Run (DJ Set); Gregori Klosman; Betatraxx; GLOWINTHEDARK; Silvio Ecomo; Mitchell Neimeyer; MC Gee,12/17/2011,10pm,,,http://tickets.dirty-dutch.com/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,Amsterdam,na
David Guetta at Copacabana,Copacabana Beach,,David Guetta,12/31/2011,10pm,,,,,,Rio de Janeiro,na
David Guetta at Cafe Curacao,Cafe Curacao,http://www.cafecuracao.com.br/,David Guetta,1/1/2012,10pm,,,,,,Guaratuba,na
David Guetta at Green Valley,Green Valley,http://www.greenvalley.art.br/index.php,David Guetta,1/2/2012,10pm,,,http://www.greenvalley.art.br/index.php,http://www.greenvalley.art.br/fotos/agenda/93649_38flyer.jpg,,Camboriu,na
David Guetta at El Jaguel,El Jaguel,,David Guetta,1/3/2012,10pm,,,,,,Punta Del Este,na
David Guetta at Music Park,Music Park,http://www.musicpark.com.br/,David Guetta,1/5/2012,10pm,,,,,,Florianopolis,na
Peppermint Experience,Dubai World Trade Center,http://www.dwtc.com/,Armin van Buuren,12/31/2011,10pm,,,http://www.peppermint-experience.com/,http://www.peppermint-experience.com/files/event/18/709921ff4e722cabb37effcfe724a056.jpg,,Dubai,na
Tiesto at PNE,PNE Colliseum,http://www.tiesto.com/Tiesto-home,Tiesto,12/31/2011,10pm,,,https://ticketdriver.com/tiestotickets/buy/tickets/event/41285,http://s3.amazonaws.com/venuedriver_flyers/22331/ticket_event/Tijscad.jpeg?1321930727,,Vancouver,*
Tiesto at Observatory,The Observatory,http://www.tiesto.com/Tiesto-home,Tiesto,1/1/2012,10pm,,,https://ticketdriver.com/tiestotickets/buy/tickets/event/40304,http://www.observatoryoc.com/sites/default/files/event_photos/XL_Flyer_Online_Tiesto_Final.jpg,,Santa Ana,*
Tiesto at XS,XS,http://www.tiesto.com/Tiesto-home,Tiesto,1/7/2012,10pm,,,https://ticketdriver.com/tiestotickets/buy/tickets/event/42576,http://s3.amazonaws.com/venuedriver_flyers/22662/ticket_event/xs_tiesto_graphic_01072012_v3.jpg?1323681643,,Las Vegas,*
Deadmau5 at FontaineBleau,Fontainebleau Pool & Arkadia,http://www.fontainebleau.com/,Deadmau5,12/31/2011,7pm,,,http://fbnye.snaptickets.com/Events/ShowEvent.aspx?eventId=14836,http://www.snaptickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f14836%2f900x200.jpg&maxWidth=1000&maxHeight=300&maxKb=150,,Miami,na
Deadmau5 at XS,XS,http://xslasvegas.com/flash2/#/home/?migcatid=xs&migSource=google-paid,Deadmau5,1/2/2012,10pm,,,http://xs.wantickets.com/events/96279/deadmau5-at-xs-nightclub/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96279%2f2f3c7f1f-d23b-4109-b90e-0e75e73c96b8.jpg&maxWidth=270&maxHeight=1000&maxKb=100,,Las Vegas,na
Deadmau5 at JUNO,JUNO Awards,http://junoawards.ca/,Deadmau5,4/1/2012,10pm,,,http://ev9.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=JUNOS&linkID=ottawa&shopperContext=&caller=&appCode=,http://static.capitaltickets.ca/events/thumbnails/juno_165.gif,,Ottowa,na
Deadmau5 at RDS,Royal Dublin Society,http://www.rds.ie/,Deadmau5,6/6/2012,10pm,,,http://www.ticketmaster.ie/event/1800477E8EF64D61?artistid=1221074&majorcatid=10001&minorcatid=201,http://media.ticketmaster.co.uk/tm/en-gb/dbimages/30008a.gif,,Dublin,na
Sandance Festival,Atlantis Hotel,http://www.atlantisthepalm.com/,Above & Beyond; Basement Jaxx; Roger Sanchez; Sister Bliss; Goldfish; Jon Ulysses,12/31/2011,10pm,,,http://www.platinumlist.ae/event/item/4182/SANDANCE_NYE.html,http://sandance.ae/wp-content/uploads/2011/10/SANDANCE-NYE-slier-new-300x106.png,,Dubai,na
Group Therapy 2012,K-Arena,http://www.walkieticket.com/product.aspx?P1=0000000447,Above & Beyond,1/13/2012,9pm,,,http://www.walkieticket.com/product.aspx?P1=0000000447,http://www.walkieticket.com/images/event/10041/1010113/index_002.jpg,,Kaohsiung City,na
SEMF 2012,Kintex Convention Center,http://www.semf.co.kr/,Above & Beyond,1/14/2012,10pm,,,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=11015950,http://ticketimage.interpark.com/Play/image/large/11/11015950_p.gif,,Seoul,na
Above & Beyond at LAVO,LAVO,http://www.aboveandbeyond.nu/,Above & Beyond,1/17/2012,10pm,,,http://www.lavolv.com/tickets.html,http://taolasvegas.com/uploads/images/chuckie_dec20_lvw.jpg,,Las Vegas,na
Above & Beyond at Axis,Axis Radius,http://www.aboveandbeyond.nu/,Above & Beyond,1/20/2012,9pm,,,http://fla.vor.us/wafform.aspx?_act=eventview&_pky=114289,http://az22552.vo.msecnd.net/eimg/114289/116b5c9aaad243f49e5604189afbdbdd.image!jpeg.73388.jpg.above200x200.jpg,,Scottsdale,na
Jacked at Wet,Wet at the W,,Afrojack,12/31/2011,11pm,,,http://www.kicktickets.com/34938/2011/12/31/nye-2012-featuring-afrojack-bobby-burns-wet-south-beach-miami-beach-fl,http://www.kicktickets.com/wp-content/uploads/2011/11/NYE-2012-featuring-Afrojack-Bobby-Burns-at-Wet-at-W-South-Beach-Miami-Beach-FL-188x300.jpg,,Miami,na
Jacked at XS,XS,http://xsnye.wantickets.com/,Afrojack,1/1/2012,10pm,,,http://xsnye.wantickets.com/events/96440/jacked-afrojack-r3hab-bobby-burns-apster-quintino-shermanology-new-years-day-at-xs-nightclub/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96440%2f7ee82861-9127-47af-b2b7-1a444685c078.jpg&maxWidth=270&maxHeight=1000&maxKb=100,,Las Vegas,na
Full on Ferry New Years Eve,O2 Academy,http://www.o2academybrixton.co.uk/event/34814/full-on-ferry-new-years-eve-tickets,Dash Berlin; Lock n' Load; Ferry Corsten; Judge Jules; Richard Durand; Marcel Woods; Sied van Riel,12/31/2011,9pm,,,http://www.o2academybrixton.co.uk/event/34814/full-on-ferry-new-years-eve-tickets,http://api.ning.com/files/I-avv2gXWyxgr81vD1KQZEKO3zXtYBdx0fz1K3L9s4DWyMZ-HJLyBXXRym1wscguH-pUXsfdrUNl0cEMc55rkxSsnvkdr9yL/20111231London3.jpg?width=750,,London,na
Resolution 12,Centre Bell,http://www.evenko.ca/en/show/event/5759,"Dash Berlin, Avicii, Axwell, Gareth Emery",1/1/2012,9pm,,,http://www.evenko.ca/html/tickets/resolution12/index_en.html,http://cdn.evenko.ca/_uploads/event/5759/splash.jpg,,Montreal,na
Trance Energy,Pasay World Trade Center,http://bigfishmanila.com/,Dash Berlin,1/21/2012,9pm,,,http://bigfishmanila.com/,http://api.ning.com/files/mJXC6roIDls*1jQ*zlfVlC1IeA9zFmQgeQv5exv637uty2rd8zOPGQ8RPT4M70Hz-op9dUUTItPvnGFC2Ehj9eRqjzAPNhXA/20120121Manilla.jpg?width=545,,Pasay City,na
Enter The Dragon with Dash Berlin,Kowloon,,Dash Berlin,1/22/2012,10pm,,,http://www2.hkticketing.com/HKTWebApp/SeatAvailability.do,http://www.hkticketing.com/ticketek/admin/commonfile/event/largeImage/largeImage_5292_20111123125717.jpg,,Hong Kong,na
Markus Schulz NYE,,,Markus Schulz,12/31/2011,,,,,,,Sydney,na
Summafieldayze,,,Markus Schulz,1/2/2012,11am,,,http://www.ticketmaster.com.au/Summafieldayze-tickets/artist/1082905?tm_link=edp_Artist_Image,,,Gold Coast,na
Markus Schulz Release Party,Avalon,http://www.avalonhollywood.com/club-nights/avaland/event/markus-schulz-21,Markus Schulz,2/18/2012,21:30:00,,,http://avalon.wantickets.com/events/96627/avaland-presents-markus-schulz-21/,http://www.avalonhollywood.com/_files/editor/4ed6e132545c0.jpg,,Los Angeles,na
A State Of Trance 550,Brabanthallen,http://www.astateoftrance.com/,Markus Schulz,3/31/2012,,,,http://www.astateoftrance.com/a-state-of-trance-550/den-bosch/tickets/,http://www.astateoftrance.com/wp-content/themes/asot-v3/img/ASOT550_Rectangle.png,,Den Bosch,na
